              slug               |    scope    | priority |    rule_kind     |                                       description                                        |            dataset            |        field        | logical_group | logical_operator 
---------------------------------+-------------+----------+------------------+------------------------------------------------------------------------------------------+-------------------------------+---------------------+---------------+------------------
 85-anos-asesores                | eligibility |        1 | INDEX_THRESHOLD  | Cumplir índices LIMRA e IGC dentro de parámetros.                                        |                               |                     |             1 | AND
 85-anos-asesores                | goal        |        0 | COUNT_POLICIES   | Debe emitir al menos 85 pólizas.                                                         |                               |                     |             1 | AND
 85-anos-promotores              | goal        |        0 | INDEX_THRESHOLD  | Cumplir índices de cancelación establecidos.                                             |                               |                     |             1 | AND
 85-anos-promotores              | goal        |        1 | RC_COUNT         | Lograr metas de recluta de calidad.                                                      |                               |                     |             1 | AND
 avalancha-gmm                   | eligibility |        0 | METRIC_CONDITION | Solo asesores con al menos 12 meses o consolidados pueden participar.                    | clasificacion_asesor          | permitido           |             1 | AND
 avalancha-gmm                   | eligibility |        1 | METRIC_CONDITION | Campaña exclusiva para Dirección Comercial Norte (DCN).                                  | region_dcn                    | es_dcn              |             1 | AND
 avalancha-gmm                   | goal        |        2 | COUNT_POLICIES   | Emitir entre 4 y 12 pólizas GMM.                                                         |                               |                     |             1 | AND
 avalancha-gmm                   | goal        |        3 | TOTAL_PREMIUM    | Comisiones iniciales mínimas requeridas (referencia 30K MXN).                            |                               |                     |             1 | AND
 camino-a-la-cumbre              | eligibility |        0 | TENURE_MONTHS    | Solo asesores con hasta 18 meses desde su conexión.                                      |                               |                     |             1 | AND
 camino-a-la-cumbre              | goal        |        0 | COUNT_POLICIES   | Meta escalonada de 12 a 72 pólizas emitidas.                                             |                               |                     |             1 | AND
 capitanes-al-mando              | goal        |        0 | METRIC_CONDITION | Mantener 10-12 asesores conectados con comisiones mínimas.                               | asesores_conectados           | en_rango            |             1 | AND
 cierra-con-exito-momentum       | eligibility |        0 | SEGMENT          | Solo asesores DCN.                                                                       |                               |                     |             1 | AND
 cierra-con-exito-momentum       | goal        |        1 | COUNT_POLICIES   | Emitir y pagar 4 pólizas Momentum.                                                       |                               |                     |             1 | AND
 convenciones-al-doble           | goal        |        1 | METRIC_CONDITION | Duplica el puntaje de comisiones iniciales en octubre.                                   | comisiones_dobles             | activo              |             1 | AND
 convenciones-asesores           | goal        |        0 | COUNT_POLICIES   | Al menos 30 pólizas emitidas.                                                            |                               |                     |             1 | AND
 convenciones-asesores           | goal        |        1 | TOTAL_PREMIUM    | Comisiones mínimas de $588,500 MXN.                                                      |                               |                     |             1 | AND
 convenciones-promotores         | goal        |        0 | METRIC_CONDITION | Comisiones mínimas acumuladas para clasificar a convenciones                             | polizas                       | comision_base_mxn   |             1 | AND
 creciendo-contigo               | goal        |        0 | METRIC_CONDITION | Índice semestral de desempeño (ganadores vs reclutas).                                   | creciendo_contigo_score       | cumple              |             1 | AND
 graduacion-asesores             | eligibility |        0 | TENURE_MONTHS    | Solo asesores con hasta 12 meses desde conexión.                                         |                               |                     |             1 | AND
 graduacion-asesores             | goal        |        0 | COUNT_POLICIES   | Obligatorio alcanzar 36 pólizas emitidas.                                                |                               |                     |             1 | AND
 graduacion-asesores             | goal        |        1 | TOTAL_PREMIUM    | Obligatorio acumular $114,000 MXN en comisiones.                                         |                               |                     |             1 | AND
 graduacion-promotores           | goal        |        0 | METRIC_CONDITION | Al menos 2 asesores graduados por generación (2 cortes).                                 | graduados_por_generacion      | cumple              |             1 | AND
 grupo-0-asesores                | eligibility |        0 | SEGMENT          | Solo asesores profesionales y nuevos profesionales.                                      |                               |                     |             1 | AND
 grupo-0-asesores                | goal        |        0 | TOTAL_PREMIUM    | Top 10 Vida Individual con prima meta de $2.5 MDP.                                       |                               |                     |             1 | AND
 grupo-0-asesores                | goal        |        1 | TOTAL_PREMIUM    | Top 3 GMMI con prima inicial de $1.1 MDP.                                                |                               |                     |             1 | AND
 grupo-0-asesores                | goal        |        2 | METRIC_CONDITION | Debe cumplir el Bono Grupo 1 en diciembre 2025 y enero 2026.                             | bono_grupo_1                  | cumple              |             1 | AND
 grupo-colectivo-da-plus         | eligibility |        0 | METRIC_CONDITION | Restringe la participación a asesores nuevos, reactivados o activos.                     | clasificacion_asesor          | permitido           |             1 | AND
 grupo-colectivo-da-plus         | eligibility |        1 | METRIC_CONDITION | Primera póliza válida por perfil con prima mínima según producto.                        | primera_poliza_bonus          | cumple              |             1 | AND
 grupo-colectivo-da-plus         | goal        |        0 | COUNT_POLICIES   | Para premios en especie se contabilizan 2+ pólizas con primas mínimas requeridas.        |                               |                     |             1 | AND
 legion-centurion-asesores       | goal        |        0 | COUNT_POLICIES   | Clasificación por número de pólizas emitidas.                                            |                               |                     |             1 | AND
 legion-centurion-promotores     | goal        |        0 | METRIC_CONDITION | Clasificación por cantidad de asesores ganadores.                                        | promotores_asesores_ganadores | cumple              |             1 | AND
 mdrt                            | eligibility |        3 | METRIC_CONDITION | Al menos 50% del negocio debe ser Vida.                                                  | mix_vida                      | ratio               |             1 | AND
 mdrt                            | goal        |        0 | TOTAL_PREMIUM    | Prima mínima de $1.7M MXN.                                                               |                               |                     |             1 | AND
 mdrt                            | goal        |        1 | TOTAL_PREMIUM    | Comisiones mínimas de $849K MXN.                                                         |                               |                     |             1 | AND
 mdrt                            | goal        |        2 | TOTAL_PREMIUM    | Ingresos mínimos de $1.47M MXN.                                                          |                               |                     |             1 | AND
 msi-inicial                     | eligibility |        0 | METRIC_CONDITION | Al menos una póliza de VI, GMMI o AP emitida y pagada                                    | polizas_por_producto          | cantidad            |             1 | AND
 msi-inicial                     | eligibility |        1 | METRIC_CONDITION | Póliza inicial (emitida recientemente, primera del cliente)                              | polizas_recientes             | cantidad            |             1 | AND
 msi-promotor                    | eligibility |        0 | METRIC_CONDITION | Validar cumplimiento de condiciones MSI.                                                 | msi_promotor_condiciones      | cumple              |             1 | AND
 msi-renovacion-gmm              | eligibility |        0 | METRIC_CONDITION | Al menos una póliza GMMI (producto específico)                                           | polizas_por_producto          | cantidad            |             1 | AND
 msi-renovacion-gmm              | eligibility |        1 | METRIC_CONDITION | Póliza vigente (al corriente en pagos) para renovación                                   | polizas                       | polizas_vigentes    |             1 | AND
 nuevo-horizonte                 | eligibility |        0 | TENURE_MONTHS    | Solo promotores con hasta 12 meses desde su conexión (nuevos).                           |                               |                     |             1 | AND
 nuevo-horizonte                 | goal        |        1 | RC_COUNT         | Cumplir metas de recluta de calidad (RC = 3 pólizas Vida/mes con prima anual ≥ $17,000). |                               |                     |             1 | AND
 nuevo-horizonte                 | goal        |        2 | METRIC_CONDITION | Acumular comisiones mínimas para la campaña (ajustar threshold según campaña)            | polizas                       | comision_base_mxn   |             1 | AND
 ola-de-productividad-asesores   | eligibility |        2 | METRIC_CONDITION | Cada póliza debe tener prima mínima de $17,000 MXN.                                      | prima_minima                  | cumple              |             1 | AND
 ola-de-productividad-asesores   | goal        |        0 | COUNT_POLICIES   | Emitir de 8 a 14 pólizas dentro del periodo.                                             |                               |                     |             1 | AND
 ola-de-productividad-asesores   | goal        |        1 | TOTAL_PREMIUM    | Comisiones acumuladas mínimas de $48,000 MXN durante la campaña.                         |                               |                     |             1 | AND
 ola-de-productividad-promotores | goal        |        0 | RC_COUNT         | Cumplir metas de recluta de calidad (RC = 3 pólizas Vida/mes ≥ $17,000 prima).           |                               |                     |             1 | AND
 ola-de-productividad-promotores | goal        |        1 | METRIC_CONDITION | Tener asesores ganadores en la campaña objetivo.                                         | asesores_ganadores            | cumple              |             1 | AND
 proactiva-tech-2-0              | eligibility |        0 | TENURE_MONTHS    | Solo asesores consolidados (≥ 24 meses).                                                 |                               |                     |             1 | AND
 proactiva-tech-2-0              | goal        |        1 | COUNT_POLICIES   | Emitir entre 6 y 15 pólizas VI/GMMI.                                                     |                               |                     |             1 | AND
 promotor-360                    | goal        |        0 | METRIC_CONDITION | Indicador compuesto RC + desempeño.                                                      | promotor_360_index            | cumple              |             1 | AND
 promotor-360-dcn                | eligibility |        0 | SEGMENT          | Solo promotores DCN.                                                                     |                               |                     |             1 | AND
 promotor-360-dcn                | goal        |        1 | RC_COUNT         | Mínimo 12 asesores reclutados válidos (6 Current + 6 1ª Clase).                          |                               |                     |             1 | AND
 promotor-360-dcn                | goal        |        2 | METRIC_CONDITION | Sistema de puntos ponderados DCN.                                                        | promotor_360_dcn_index        | cumple              |             1 | AND
 regalos-momentum                | eligibility |        0 | METRIC_CONDITION | Al menos una póliza Momentum (producto específico)                                       | polizas_por_producto          | cantidad            |             1 | AND
 regalos-momentum                | eligibility |        1 | METRIC_CONDITION | Prima mínima de $50,000 MXN por póliza                                                   | polizas_prima_minima          | cantidad            |             1 | AND
 reto-5000                       | eligibility |        1 | SEGMENT          |                                                                                          |                               |                     |             1 | AND
 reto-5000                       | eligibility |        3 | METRIC_CONDITION | Promotor debe tener mes de conexión registrado.                                          | candidatos                    | ultimo_mes_conexion |             1 | AND
 reto-5000                       | eligibility |        4 | METRIC_CONDITION | Usuario debe tener al menos 1 póliza de los productos VI seleccionados                   | polizas_por_producto          | cantidad            |             1 | AND
 reto-5000                       | eligibility |        5 | METRIC_CONDITION |                                                                                          | polizas_por_producto          | producto_ids        |             1 | AND
 reto-5000                       | goal        |        2 | METRIC_CONDITION | Al menos una póliza Vida Grupo emitida y pagada dentro de la vigencia.                   | polizas                       | polizas_vigentes    |             1 | AND
 sociedad-norte                  | goal        |        0 | RC_COUNT         | 15 reclutas de calidad (RC = 3 pólizas Vida/mes ≥ $17,000 prima).                        |                               |                     |             1 | AND
 sociedad-norte                  | goal        |        1 | METRIC_CONDITION | 15 asesores proactivos al cierre.                                                        | asesores_proactivos           | cumple              |             1 | AND
 tcp-tipo-cambio-preferencial    | eligibility |        0 | METRIC_CONDITION | Al menos una póliza de Vida Individual                                                   | polizas_por_producto          | cantidad            |             1 | AND
 tcp-tipo-cambio-preferencial    | eligibility |        1 | METRIC_CONDITION | Prima equivalente mínima de $100,000 MXN (tipo de cambio $16.99)                         | polizas                       | prima_total_mxn     |             1 | AND
(65 rows)

