             slug             |    scope    | priority |    rule_kind     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      config                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
------------------------------+-------------+----------+------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 convenciones-promotores      | goal        |        0 | METRIC_CONDITION | {"path": ["polizas", "comision_base_mxn"], "field": "comision_base_mxn", "value": 588500, "metric": "comision_base_mxn", "source": "polizas", "dataset": "polizas", "operator": "gte", "valueRaw": "588500", "valueType": "number"}
 msi-inicial                  | eligibility |        0 | METRIC_CONDITION | {"path": ["datasets", "polizas_por_producto", "cantidad"], "field": "cantidad", "value": 1, "metric": "cantidad", "source": "polizas_por_producto", "dataset": "polizas_por_producto", "operator": "gte", "valueRaw": "1", "valueType": "number"}
 msi-inicial                  | eligibility |        1 | METRIC_CONDITION | {"path": ["datasets", "polizas_recientes", "cantidad"], "field": "cantidad", "value": 1, "metric": "cantidad", "source": "polizas_recientes", "dataset": "polizas_recientes", "operator": "gte", "valueRaw": "1", "valueType": "number", "dias_ventana": 30}
 msi-renovacion-gmm           | eligibility |        0 | METRIC_CONDITION | {"path": ["datasets", "polizas_por_producto", "cantidad"], "field": "cantidad", "value": 1, "metric": "cantidad", "source": "polizas_por_producto", "dataset": "polizas_por_producto", "operator": "gte", "valueRaw": "1", "valueType": "number"}
 msi-renovacion-gmm           | eligibility |        1 | METRIC_CONDITION | {"path": ["polizas", "vigentes"], "field": "polizas_vigentes", "value": 1, "metric": "polizas_vigentes", "source": "polizas", "dataset": "polizas", "operator": "gte", "valueRaw": "1", "valueType": "number"}
 nuevo-horizonte              | eligibility |        0 | TENURE_MONTHS    | {"role": "promotor", "max_months": 12}
 nuevo-horizonte              | goal        |        1 | RC_COUNT         | {"min": 1, "prima_min_mxn": 17000, "polizas_vida_mensuales": 3}
 nuevo-horizonte              | goal        |        2 | METRIC_CONDITION | {"path": ["polizas", "comision_base_mxn"], "field": "comision_base_mxn", "value": 50000, "metric": "comision_base_mxn", "source": "polizas", "dataset": "polizas", "operator": "gte", "valueRaw": "50000", "valueType": "number"}
 regalos-momentum             | eligibility |        0 | METRIC_CONDITION | {"path": ["datasets", "polizas_por_producto", "cantidad"], "field": "cantidad", "value": 1, "metric": "cantidad", "source": "polizas_por_producto", "dataset": "polizas_por_producto", "operator": "gte", "valueRaw": "1", "valueType": "number"}
 regalos-momentum             | eligibility |        1 | METRIC_CONDITION | {"path": ["datasets", "polizas_prima_minima", "cantidad"], "field": "cantidad", "value": 1, "metric": "cantidad", "source": "polizas_prima_minima", "dataset": "polizas_prima_minima", "operator": "gte", "valueRaw": "1", "valueType": "number", "prima_minima_mxn": 50000}
 reto-5000                    | eligibility |        1 | SEGMENT          | {"any": ["c1555019-1fb8-4c32-8fbb-2c9619469829", "550e3f3b-bf84-4bfd-9156-5cfdcc32c3a6"], "matchBy": "id"}
 reto-5000                    | eligibility |        3 | METRIC_CONDITION | {"path": ["candidatos", "ultimo_mes_conexion"], "field": "ultimo_mes_conexion", "value": "", "metric": "ultimo_mes_conexion", "source": "candidatos", "dataset": "candidatos", "operator": "neq", "valueRaw": "", "valueType": "text"}
 reto-5000                    | eligibility |        4 | METRIC_CONDITION | {"path": ["datasets", "polizas_por_producto", "cantidad"], "field": "cantidad", "value": 1, "metric": "cantidad", "source": "polizas_por_producto", "dataset": "polizas_por_producto", "operator": "gte", "valueRaw": "1", "valueType": "number"}
 reto-5000                    | eligibility |        5 | METRIC_CONDITION | {"path": ["datasets", "polizas_por_producto", "producto_ids"], "field": "producto_ids", "value": "374e28b4-c209-45e5-8ca5-d3af04bdfdae,d64fcaf7-19cd-4376-ac2c-9902574df056,545c0126-65e5-4338-8727-8a54b6849682,ba056847-2fa1-46a4-84e6-5640b7bd55f9,4a2d3fd5-7332-46aa-90f6-a7d3979a1719,c389e603-be14-4d53-aa7d-ada5c958be7c,bff58e6b-0755-4cb8-981c-faa8875ff038,4cf3525e-fb21-4d2b-be53-8e474c859d47,d98a4e54-3b4c-480c-87d8-59066864baca,df329041-7d4a-4dc6-b4e8-98208b087472,863d0e8e-581f-4a0f-8fc0-4bd6faa11eec,7766edcb-40a2-40ea-9f64-4be28b67d49e", "metric": "producto_ids", "source": "polizas_por_producto", "dataset": "polizas_por_producto", "operator": "in", "valueRaw": "374e28b4-c209-45e5-8ca5-d3af04bdfdae,d64fcaf7-19cd-4376-ac2c-9902574df056,545c0126-65e5-4338-8727-8a54b6849682,ba056847-2fa1-46a4-84e6-5640b7bd55f9,4a2d3fd5-7332-46aa-90f6-a7d3979a1719,c389e603-be14-4d53-aa7d-ada5c958be7c,bff58e6b-0755-4cb8-981c-faa8875ff038,4cf3525e-fb21-4d2b-be53-8e474c859d47,d98a4e54-3b4c-480c-87d8-59066864baca,df329041-7d4a-4dc6-b4e8-98208b087472,863d0e8e-581f-4a0f-8fc0-4bd6faa11eec,7766edcb-40a2-40ea-9f64-4be28b67d49e", "valueType": "text"}
 reto-5000                    | goal        |        2 | METRIC_CONDITION | {"path": ["polizas", "vigentes"], "field": "polizas_vigentes", "value": 1, "metric": "polizas_vigentes", "source": "polizas", "dataset": "polizas", "operator": "gte", "valueRaw": "1", "valueType": "number"}
 tcp-tipo-cambio-preferencial | eligibility |        0 | METRIC_CONDITION | {"path": ["datasets", "polizas_por_producto", "cantidad"], "field": "cantidad", "value": 1, "metric": "cantidad", "source": "polizas_por_producto", "dataset": "polizas_por_producto", "operator": "gte", "valueRaw": "1", "valueType": "number"}
 tcp-tipo-cambio-preferencial | eligibility |        1 | METRIC_CONDITION | {"path": ["polizas", "prima_total_mxn"], "field": "prima_total_mxn", "value": 100000, "metric": "prima_total_mxn", "source": "polizas", "dataset": "polizas", "operator": "gte", "valueRaw": "100000", "valueType": "number"}
(17 rows)

